"questionType","prompt","optionA","optionB","optionC","optionD","optionE","correctAnswer","explanation","ecoDomain","performanceDomain","imageUrl","status","difficulty"
"single_choice","A large utility company is using a hybrid approach to update their customer service software platform. The project has entered the testing phase, and the project team has identified several defects in the system. An expert joins the project to troubleshoot the defects. An investigation finds that incomplete requirements gathering and poor communication between project team members and stakeholders have caused the defects.

What should this project team record as lessons learned from this situation?","Ensure all requirements are gathered before beginning the project.","Assigning a dedicated team for requirements gathering will help ensure requirements are complete.","Regular communication with stakeholders throughout the project ensures that requirements and scope are valid.","Hold stakeholders accountable for incomplete requirements.","","C","Regular communication with stakeholders throughout the project is the best approach to preventing defects caused by incomplete requirements gathering and poor communication. This approach helps in identifying and resolving issues early on and ensures stakeholders are kept informed of the project's progress. It also helps in building a strong relationship with the stakeholders and ensuring their expectations are managed. Since the work for this project  takes a hybrid development approach to software development, we can assume that complete requirements gathering is not likely to be possible. In software development, requirements can change throughout the project and the project team needs to be flexible to accommodate these changes. Assigning a dedicated team for requirements gathering is a good approach; however, it might not always be feasible due to budget and resource constraints. Holding stakeholders accountable for incomplete requirements might create a negative impact on the project team's relationship with the stakeholders. This approach may lead to a breakdown in communication and damage the project team's reputation.","1.9","Agnostic","","draft",""
"single_choice","A large construction project to renovate a landmark building in a highly populated area has received significant media attention due to its potential impact on the local community. Several stakeholders, including community leaders, local politicians, and environmental groups, have expressed concerns about the project's potential impact.

Which approach should the project manager take to complete this project successfully?","Focus on meeting the project goals to the highest quality standards so stakeholders will be reassured.","Develop a stakeholder engagement plan and communicate regularly with stakeholders.","Follow stakeholders’ social media, attend all their meetings, be respectful and empathetic, and use active listening.","Track stakeholder concerns but address them only when they become an obstacle to the project's progress.","","B","Developing a stakeholder engagement plan and communicating regularly with stakeholders is the most effective approach to engaging stakeholders in a highly visible project with significant community impact. It is essential to engage with stakeholders, understand their concerns, and develop strategies to address them. Communication is critical to building trust with stakeholders and ensuring their support for the project. Engaging with stakeholders is necessary to address their concerns and ensure project success. However, since these stakeholders are already detractors, you might spend a lot of time and energy getting involved in discussions or arguments that do not benefit the project. While ignoring stakeholders' concerns can lead to negative public perception, legal problems, and project delays, indulging them is also the wrong strategy.","1.9","Agnostic","","draft",""
"multiple_response","A project manager has subcontracted some technically challenging work to a vendor. The vendor has delivered the subcontracted work as per the technical specifications mentioned in the contract. Still, the project manager is not satisfied with the deliverables produced because they are not exactly what was required.

Which two actions should the project manager take first? (Choose 2)","Withhold payment until the dispute is resolved.","Take legal action.","Accept the deliverables.","Negotiate a new or amended contract.","Terminate the contract.","C,D","The question states the vendor has completed the work as per the technical specifications mentioned in the contract. Therefore, the seller has met the acceptance criteria described in the terms and conditions of the agreement. Realistically, you would likely negotiate a new or amended contract with the seller to align the deliverable with your requirements better. Therefore, among all available options, accepting the deliverable and negotiating a new or amended contract are the best answers to this question.","2.11","Agnostic","","draft",""
"single_choice","A project manager is ready to kick off a new construction project. The stakeholders are all enthusiastic about the project, but their varied opinions about the project are causing some problems. Most stakeholders want to use the reliable milestone-based predictive approach the company has always used, whereas others want to try an agile approach to move work along faster.

What should the project manager do?","Escalate this to the project sponsor and let them decide on the approach.","Discuss the options with the customer and let them decide.","Decide based on the value gained by each of the delivery options.","Recommend a hybrid approach as it would satisfy most stakeholders.","","C","When choosing the appropriate project approach, project managers should make their selection based on which will deliver the best value for that specific project. In this process, it is also important that the project manager educate stakeholders about the rationale behind the choice of a specific approach. Since the project manager and project team will plan and deliver the project, this decision should not be escalated to the project sponsor; however, the customer and other stakeholders may provide input.","2.13","Agnostic","","draft",""
"multiple_response","A project manager is responsible for a software development project, and the project team has been using a predictive approach. However, due to changing requirements and customer needs, the project team has decided to adopt an agile approach.

Which three actions should the project manager take to ensure a smooth transition from a predictive to an agile approach and that the team adapts well? (Choose 3)","Train the team on the agile mindset.","Create a detailed plan for the transition.","Engage the team in a discussion on the transition.","Implement agile practices and inform the team.","Request an agile coach to help the team.","A,C,E","To facilitate a smooth transition in this case, agile training and an open discussion about the transition are required. The project team needs to understand the transition process and have input in decision-making before adopting an agile way of thinking and working. Taking this step without the collaboration and buy-in of the team might create resistance and hinder the transition process. Creating a detailed plan for the transition is an example of a plan-based method that the team is trying to move away from, so this is not a good choice because the project team and the project manager all need to shift to the agile mindset.","2.13","Agnostic","","draft",""
"single_choice","An oil and gas company is redesigning their oil storage tanks to meet updated international industry standards. A vendor is contracted to perform the work. During the latest inspection, a critical flaw is detected in the tank venting systems.

The vendor states this is a design flaw and they notified the team lead 3 weeks ago to inspect the tanks, but they did not perform the inspection. The vendor kept working, using the designs they were given, to meet the next milestone. The team lead says the inspection was not on the schedule.

What should the project manager do first?","Consult the responsible, accountable, consulted, and informed (RACI) chart to find out who is responsible and accountable for the inspections.","Consult the project schedule to verify the inspection dates.","Escalate to operations and log the problem in the issue log.","Schedule a quality assessment to fix the problem as soon as possible.","","D","The project manager needs to get this problem fixed as soon as possible. The RACI chart and the conflict between the vendor and the team lead should also be addressed but this can be done later. Escalation is typically the option taken when the issue is beyond your authority and too complex to solve on your own.","2.15","Agnostic","","draft",""
"single_choice","A project sponsor announces their retirement and informs the project manager that they will be replaced by two company managers. The project sponsor says: “These two managers work together closely, so the transition should be seamless.”

What should the project manager do next?","Continue working exactly as before.","Update the stakeholder engagement plan to accommodate the two new managers.","Redo the whole communications strategy and communications management plan.","Update the project management plan and the stakeholder engagement assessment matrix.","","B","When the number of communication channels changes, we need to adjust our communication methods accordingly. The strategy can remain the same. To assume that two individuals working closely together would act as one is an unsafe assumption. With a plan in place to handle their individual communications, the project manager can have an effective strategy and engage and collaborate with these stakeholders effectively as individuals.","2.2","Agnostic","","draft",""
"single_choice","Midway through a project in a large organization, a project sponsor has left and been replaced by a senior department manager who is already a project stakeholder. The project manager is concerned because the department manager is not answering emails in a timely manner.

How should the project manager respond?","Consult with the former project sponsor about how to work better with the new manager.","Increase the number of communication channels in the communications strategy and communications management plan.","Engage the stakeholder properly and learn their communication needs.","Update the stakeholder’s status from “neutral” to “leading” in the stakeholder engagement assessment matrix.","","C","With new stakeholders in the key role of project sponsor, it is imperative to engage with them to discover their needs and expectations for both the project and communication with them. With the arrival of a new person in the role of project sponsor, even though they are already familiar with company policies and organizational process assets (OPAs), they are still new to the project. You should engage them properly and personally about the project. The original project sponsor has left, so they will be replaced in the communications management plan and stakeholder engagement plan; there is no need to add another channel.","2.2","Agnostic","","draft",""
"single_choice","A business-critical project is in danger of missing a deadline in 15 days and failing. The team lead escalates the issue to management and is given the option of adding an unknown resource for the next 2 weeks or reprioritizing the backlog. The project team asks the product owner to reprioritize the backlog.

Why is this the best choice?","Adding a new resource at this point is too risky.","Shifting the resource might require many approvals.","The extra resource will cost too much money.","Delivering something inadequate is better than failing.","","A","The key issue in this question is the stage of the project and its criticality. Using Tuckman’s Ladder Model as a guide to team dynamics, adding an unknown resource for a short period of time means the project team will start from the forming stage and won’t reach their maximum productivity right away. This is a best-case scenario, because the outcome can be a far more serious disruption to the team dynamic at a critical point in the project. That risk is too high. Approvals can be expedited, and we can assume that since the project is business critical, the company would have paid for the extra resource. Option D presumes that a reprioritized backlog would deliver an inferior or inadequate product. But because this project team is using an agile development approach, any backlog decisions will have a strong chance of delivering positive outcomes for the customer.","2.3","Agile","","draft",""
"single_choice","A new project manager begins work on a project started last year to renovate a busy airport terminal. Even though the project uses a hybrid development approach—making incremental updates to the terminal—it has encountered many issues, especially creating conflicts with airport operations. The new project manager asks the project team about how they typically handle problems and risks, but no one has a clear answer.

What should the project manager do first?","Switch to a predictive approach for better risk management.","Modify the risk register.","Start to identify potential risks.","Update the risk management plan.","","D","The best approach here is to update the risk management plan that should already be in place. The issues on this project are evident because the risk management plan is not updated. Using a predictive approach does not guarantee better risk management. The project is already using a hybrid approach, so a risk management plan should have been in place and continuously updated. After the plan is updated, the risk register can be modified.","2.3","Hybrid","","draft",""
"single_choice","During the risk management planning process for a software development project, a project team identifies a high-risk item related to the integration of a new third-party tool into the system. The team has identified a contingency plan but it is expensive and may impact the project budget.

What should the project manager do next?","Implement the contingency plan immediately to avoid any potential risks.","Evaluate the cost-benefit analysis of the contingency plan before implementing it.","Wait and see if the risk materializes before taking any action.","Ignore the high-risk item since there is a contingency plan in place.","","B","After identifying a high-risk item with a costly contingency plan, the project manager's next step should be to evaluate the cost-benefit analysis of the contingency plan before implementing it. This will help the project manager to determine if the cost of the contingency plan is worth the risk mitigation benefit. The project manager should also consider other risk management options such as risk avoidance, risk acceptance, and risk transfer. By evaluating the cost-benefit analysis and considering other risk management options, the project manager can make an informed decision on how to proceed. Implementing the contingency plan without evaluating its cost-benefit analysis may lead to unnecessary expenses and negatively impact the project budget. Waiting to see if the risk materializes may lead to missed opportunities for risk mitigation, increased costs, and project delays. Ignoring a high-risk item is not a proactive risk management approach and may lead to serious consequences if the risk materializes.","2.3","Hybrid","","draft",""
"single_choice","A company is considering a project to improve its IT infrastructure. The project team wants to identify the assumptions, constraints, risks, and issues.

Categorize the assumption, constraint, risk, and issue correctly.

A.	The unique server used by the team is out of service from 8:00 a.m. this morning.
B.	Negotiations conducted last week by the management team with our partner resulted in an agreement to register a budget of US$50,000 in the next quarter for IT infrastructure upgrades to avoid this type of server failure.
C.	The project may be delayed due to possible loss of data due to sudden shutdown of the server during its failure.
D.	Development work on the main project deliverable is struggling to move forward due to the limited capacity of the current development infrastructure.","A is an issue;
B is a constraint;
C is a risk; and
D is an assumption.","A is a risk;
B is an assumption;
C is an issue; and
D is a constraint.","A is an issue;
B is an assumption;
C is a risk; and
D is a constraint.","A is a risk;
B is a constraint;
C is an issue; and
D is an assumption.","","C","A server outage is a problem or issue that has occurred and for which a solution must be found. Negotiations seek a likely budget of US$50,000 to solve infrastructure difficulties, so the team can make the assumption, or working hypothesis, or the cost. The possibility of a delay is a statement of risk that something may happen, namely if the server is stopped abruptly there might be data loss. Finally, a known infrastructure capacity limitation explains a constraint, or limiting condition to the work.","2.3","Agnostic","","draft",""
"single_choice","A project manager is replaced during the execution stage of a project. During a handover meeting, the departing project manager introduces the new project manager to the project sponsor and the project team. The new project manager asks who the supportive stakeholders are, but no one knows the answer.

What should the new project manager do?","Interview the project sponsor again—they should have some idea.","Look through the project documents to find the names of the stakeholders.","Prepare a questionnaire for the team about desired stakeholder participation.","Consult the lessons learned repository, which has a lot of information.","","B","In this case, the new project manager is assuming control of a project that did not have proper stakeholder engagement planning. Stakeholder support is always needed. The project sponsor can help but they and the team have already been consulted. Clearly, research is required, and the project documents are a good place to start. After identifying and engaging the stakeholders, the new project manager should collaborate with the team to determine levels of participation. Although it is true that the lessons learned repository has a lot of information, it is important to identify, analyze, and engage the stakeholders as soon as possible.","2.4","Agnostic","","draft",""
"single_choice","Three project team members request long leaves of absence. Two team members are studying for a major exam and the other has a family emergency. Their project roles are very similar, and the project is critical to the business.

What should the project manager do?","Prioritize the leave requests based on seniority and company policy.","Approve all the requests because they will return to the project with positive energy.","Assess how approving the leave requests could affect the project.","Compress the project schedule and approve shorter leave times for all.","","C","The best approach here is to perform an impact analysis and be transparent with the team members regarding the project status and their roles in project success. Based on the result of the analysis, collaborate with them on a solution that will not negatively affect the project.","2.5","Agile","","draft",""
"single_choice","Every year, from May to October, a ski resort closes to undertake a project to inspect the surrounding mountain trails and repair the ski lifts before reopening. The date is now 15 September. The project manager wants to know how much more money to allocate to the project budget to meet the completion date of 31 October.

Which method or metric should the project manager use?","Cost performance index (CPI)","Estimate to complete (ETC)","Estimate at completion (EAC)","Parabolic estimation","","B","Estimate to complete (ETC) indicates the projected remaining amount of money that will be spent based on past performance. The project manager can look at the money spent during the first 4 months of the project. Because this project occurs every year, a project manager can easily access the past years’ performance metrics to determine how much more money to allocate to the budget.","2.5","Agnostic","","draft",""
"multiple_response","A project was discontinued because of severe resource limitations 3 years ago. Now the project sponsor insists that it should be restarted and offers a budget but no staff. The other stakeholders agree the business needs the work to be done but cannot allocate any of their staff members to do the work. Despite this, a project manager has been assigned to the project. The project manager is given 3 weeks to review the original project artifacts and report on recommendations to the project management office (PMO) so the project can be prioritized within the business portfolio.

In which two ways should the project manager approach this situation? (Choose 2)","Propose using automation or artificial intelligence (AI) to assist in completing the work.","Engage the stakeholders and force them to release the resources per the project sponsor’s mandate.","Try to convince the project sponsor to wait until the needed staff members are free to begin the project.","Circulate the project charter and discuss resource requirements with the stakeholders.","Request more funding to hire contractors to perform the work.","D,E","This project has been authorized and is proceeding, whether the stakeholders are ready or not. The project manager’s job during the next 3 weeks is to prepare to start the project work. Even if the conversations will be difficult, the project manager needs to have them with the stakeholders now. Asking for more money to hire external resources is also a good idea in case the stakeholders cannot provide staff to meet the project’s needs. Using AI is an innovative tool, which is becoming commonplace, but it carries risks that would need to be evaluated before the tool is used; this adds time to the schedule.","2.5","Agnostic","","draft",""
"single_choice","A project to build a large resort-style swimming pool is in the execution stage. The project manager notices that team members are using different units of measurement to monitor project progress: some report completion of work in hours, some in days, and others note the percent complete. This is causing confusion.

What should the project manager do to prevent this from happening again?","Direct the team to use a single measurement unit.","Refer the team to the guidelines in the schedule management plan.","Design a unit conversion tool to convert different units to a common unit.","Consult the project management office (PMO) to decide on actions.","","B","You need to ensure the team is using measurement units as described in the schedule management plan. Directing them without checking the schedule management plan is an incorrect choice for a project that is using this project management plan component. Designing a tool is just going to complicate things, will take time, and is not an appropriate solution considering the effort and money invested. You could consider consulting the project management office (PMO), which would have been more appropriate while creating the schedule management plan.","2.6","Agnostic","","draft",""
"multiple_response","A project team is developing a new e-commerce website for an IT project. The project is facing several technical issues that are affecting progress, including multiple code corrections caused by poor quality of coding. The deliverables have been negatively impacted.

In which three ways should the project team address these issues? (Choose 3)","Escalate the issues to senior management	 for a solution.","Work with the product owner to create a new user story to address the quality and technical issues.","Update the iteration backlog.","Collaborate with the stakeholders to resolve the issues.","Schedule an iteration H to solve the quality defects.","B,D,E","Stakeholder collaboration is the best solution to resolve the quality issues in this situation. The project team should also work with the product owner to create a new user story to address the quality issues or schedule an iteration H to solve the quality defects. Escalation is not required in this situation, because the team should be able to act on quality issues, and the iteration backlog is not updated during the iteration.","2.7","Hybrid","","draft",""
"single_choice","A software development project using a hybrid development approach has a fixed budget of US$500,000. During the execution phase, a project team lead has been tracking the costs and posting the actual cost (AC) and planned cost (PC) amounts on an information radiator. The project team notices that this trend has continued for the last 3 months, with the variance growing steeper during the last month. They plan to discuss the budget at the next retrospective.

What should the project team do?","Reduce quality to a minimum viable metric while maintaining scope.","Estimate the additional cost for the remaining scope and request a budget increase.","Renegotiate project contracts with vendors to reduce costs.","Review the project scope and make necessary adjustments to align with the remaining budget.","","A","Since the actual cost (AC) exceeds the planned cost (PC) and this project has a fixed budget, the team should find out if they can adjust quality to deliver on scope. In this software development project, this may involve identifying and removing any unnecessary work or features and prioritizing critical project requirements. The budget is fixed, so the team needs to stay within that parameter. Renegotiating vendor contracts will take time and carries risks.","2.7","Hybrid","","draft",""
"single_choice","A project to catalog a knowledge base has been rejected several times. The work is now unavoidable, but the company has limited resources to complete it. A project manager has recorded a long list of quality defects of varying degrees of importance and criticality, which cause the stakeholders to be concerned.

Which tool or technique should the project manager use to approach the task of dealing with the defects?","Pareto chart","Control chart","Strengths, weaknesses, opportunities, and threats (SWOT) analysis","Cause-and-effect diagram","","A","The project manager needs to prioritize the long list of defects before taking action. A Pareto chart will show the defects by volume, from greatest to least. From this visual, the project manager can see what is causing the greatest defects and deal with those first.","2.7","Predictive","","draft",""
"single_choice","A new project manager is asked to help a project sponsor create a project charter for the first time. After looking through the project documents provided by the project sponsor and the business stakeholders, the project manager creates a draft and is nearly ready to share it with the stakeholders and the project team.

Which additional step should the project manager take to ensure the project charter is ready?","Conduct a peer review of the document.","Ensure all talent and resource contracts are fully executed.","Provide a link to the project team’s virtual workspace.","Include the acceptance criteria for deliverables.","","A","A project charter includes a high-level description of the project’s goals and a lot of information about the project. At this point, contracts may or may not be executed and the workspace may or may not exist. Acceptance criteria are decided on when it is time to complete the next step, starting with the project management plan. The only step on this list that should be completed now is to facilitate a peer review of the document ahead of obtaining approval.","2.7","Agnostic","","draft",""
"single_choice","A newly appointed project manager is reviewing documents and realizes the business case contains incomplete information. What should the project manager do next?","Process a change request.","Ask the project sponsor to update the business case.","Update the business case.","Determine what information is needed.","","D","When a new project manager joins a project and find an incomplete business case, the immediate solution is to determine what information is needed to understand what the business wants and needs from the project.","2.8","Agnostic","","draft",""
"multiple_response","Ten years ago, a family inherited a 140-acre estate but since then have only argued about what to do with it. Now, they must act within 24 months to avoid financial penalties for dereliction. The estate lawyer engages a development company with a project manager to find a solution. The project manager hosts a discovery and fact-finding meeting and hears the following viewpoints:

•	Stakeholder F wants to restore the derelict building to preserve historical value.
•	Stakeholders P and Q want to demolish the building, then build and sell houses.
•	Stakeholder B wants to split the property among the family.
•	The lawyer reemphasizes the time line.

Which two steps should the project manager take first? (Choose 2)","Discuss the scope options with the development team and ask them to develop a proof of concept (POC) for each.","Examine the value gained by each of the options.","Give the group a deadline to decide what they want among themselves and then advise the project team.","Continue discussing the various options with the stakeholders and listen actively to their concerns.","Estimate the schedule and cost of each option.","B,E","We examine value and base decisions for project scope based on available data. After that, we can invest in a proof of concept (POC). These stakeholders have had enough time to collaborate, but it is clear they cannot agree and move forward without help. They have contributed enough initial ideas for you to examine the potential value, schedule, and cost of each as the first steps.","3.3","Agnostic","","draft",""
"single_choice","A national beautification program is underway. One project—to remove the “locks of love” (padlocks fastened by couples in love) from the side of a 200-year-old bridge—is highly controversial. The locks are speeding up the destruction of the bridge railings, which is a safety concern, but thousands of people have been protesting the removal every weekend, shutting down city streets and creating bad publicity. Protests have become global, as a social media campaign shows thousands of tourists visiting the city are also angry about the removal.

What should the project manager do?","End the project because of the bad publicity and suggest a new project to address the problem.","Start a social media campaign about the benefits of beautification and safety in public spaces.","Close the bridge, erect a scaffolding, and cut the locks off out of sight of the protestors.","Delay this project until the publicity quiets down and restart it in the future.","","B","The project manager needs to communicate with these very public and resistant stakeholders. When factors in the external business environment create a substantial impediment to project work, such as what has happened here, it is first up to you to find a solution. In this case, stakeholder engagement and collaboration should be used. Local and online stakeholder groups can learn about the project’s objective through a neutral, creative medium, and if it is done well, it is possible that some people may be convinced or a compromise reached. Going ahead with the work in a clandestine and forceful way is not the best choice, because these kinds of heavy-handed actions can have negative consequences. The other options to delay or end the project do not indicate an opportunity to collaborate with stakeholders, which is required.","3.3","Agnostic","","draft",""
"single_choice","A project manager is assigned to lead an organization’s first project using agile development approaches. To prepare, the project manager sketches some initial plans and notes some concerns, which include resource and talent management and who can help lead the effort.

Which team member or stakeholder should lead this project?","Product owner from the customer organization","Project sponsor","Project team’s most senior and experienced member","A recently hired project team member with agile experience","","D","A successful adoption of agile should be led ideally by someone who has already adopted it and can be an advocate and coach. The other choices would not be as advantageous to the organization.","3.4","Agnostic","","draft",""
