"questionType","prompt","optionA","optionB","optionC","optionD","optionE","correctAnswer","explanation","ecoDomain","performanceDomain","imageUrl","status","difficulty"
"single_choice","How do project managers decompose the full level of effort required for a project using a predictive approach?","Create a detailed schedule","Collaborate with stakeholders","Create a work breakdown structure (WBS)","Use earned value analysis (EVA)","","C","Project managers using predictive development approaches decompose the project scope into a work breakdown structure (WBS). The WBS identifies the full level of effort required for a project and arranges it in a hierarchical structure.

A schedule, no matter how detailed, will not be able to portray the full level of effort, or work required, to complete a project. Stakeholder collaboration is also required to understand the scope of a project, but the collaboration is only part of the work needed to decompose the work on a project. Earned value analysis (EVA) is an important tool that combines the cost, schedule, and scope factors to measure and evaluate the progress on the project work, but only after this information has been determined in the WBS.","2.2.3","Predictive","","draft",""
"single_choice","The goal of a project is to develop a product in the highly regulated biomedical environment. Which tool can help the project manager ensure the stakeholder requests for the project and business needs are fulfilled?","Quality management plan","Requirements traceability matrix","Work breakdown structure (WBS)","Release plan","","B","The requirements traceability matrix allows a project manager and business analyst to map the product requirements from the original requirement—for example, the user product specification—through the development process and to the final deliverable.

A quality management plan is the component of the program or project management plan that describes how applicable policies, procedures, and guidelines will be implemented to achieve the quality objectives. The work breakdown structure (WBS) will show the total scope of work. These tools will be useful but you still need to use a tool that tracks fulfillment of the objectives. Finally, the release plan sets expectations for the dates, features, and/or outcomes expected to be delivered over the course of multiple iterations and is not used in predictive planning.","2.3.0.","Agnostic","","draft",""
"single_choice","Midway through a project, two additional development teams were added to speed up project work. What should the project manager do to ensure project communications can accommodate this new, larger team?","Add a daily coordination meeting that includes one person from each team.","Update the number of channels in the communications management plan.","Add the new stakeholders to the stakeholder engagement plan.","Update the communications technology.","","B","A potential problem with adding more team members to a project team is communications failure. This can be adjusted by increasing the number of channels in the communications management plan.

The technology should not need to be updated. The new stakeholders should be added to the stakeholder engagement plan, but this will not necessarily ensure these stakeholders are included and able to communicate with one another and the project team as needed. That planning and management is performed in the communications management plan.

Project managers use the communications channel formula to manage the challenge of expanded communications in a numerical way. The communications channel formula is:

Number of communications channels = N × (N – 1)/2

Where N = Number of project stakeholders

The number of people on the project makes communications a challenge. Neither the budget size nor the technical complexity poses the greatest communications challenge. The more people we involve, the harder it is to communicate about our budget and technology.","2.3.1","Predictive","","draft",""
"multiple_response","A project manager is facilitating work on a construction project to build a factory. The project sponsor requests access to the project timeline.

Which two of the following artifacts should the project manager show the project sponsor? (Choose 2)","Kanban board","Gantt chart","Resource calendar","Pareto chart","Project schedule network diagram","B,E","A Gantt chart is a type of bar chart that illustrates a project schedule and includes milestones. The project schedule network diagram is a graphical representation of the logical relationships, also referred to as dependencies, among the project schedule activities.

Kanban boards are task boards used for organizing work into logical tasks. A resource calendar documents the availability of project resources. A Pareto chart (also called the 80/20 chart) helps to identify the highest priority task in a long list.","2.3.1","Agnostic","","draft",""
"single_choice","A project manager is facilitating a project to develop a new software application for a large enterprise. According to the project sponsor, the project needs to be able to adapt quickly to changes in product requirements, but the team also needs to deliver the product within a fixed timeline.

Which project approach is the most appropriate for this project?","Predictive","Adaptive","Hybrid","Waterfall","","B","The most appropriate project approach is an adaptive one. The project needs to be able to adapt quickly to changes in the requirements but also needs to meet the timeline. An adaptive approach is more appropriate for this project because it is built for the purpose of progressing scope in line with requested changes.

A predictive approach is not appropriate for this project, because the change control process may not be able to respond to changes quickly enough. The requirements for the software application are likely to change, and a predictive approach will not be able to adapt to these changes in time.","3.1.0","Agnostic","","draft",""
"multiple_response","CH0219
3.1.0
A project to design a safety harness for use in extreme temperatures is initiated. The design and textile components are new technology, and therefore the project manager deems the project complex.

For which three reasons should a project manager choose an adaptive approach for developing this product? (Choose 3)","Acceptance criteria are likely unknown and in the early stages.","Documentation is high on the list of requirements for release.","Experimental technologies benefit from incremental feedback.","The organization has a low risk appetite.","Stakeholder collaboration guides the product roadmap.","A,C,E","An adaptive approach is beneficial for developing an experimental product because it enables the continuous feedback needed to guide the product roadmap or showing the way forward toward project success. Collaboration in general with stakeholders is essential to developing a viable product. Since the technology is new, we can expect that acceptance criteria would be unknown or incomplete. Acceptance criteria are a set of conditions that is required to be met before deliverables are accepted. In business analysis, acceptance criteria are built to evaluate the product requirements and solution. Acceptance criteria provide a basis for shared understanding among stakeholders about what constitutes a successful outcome for a project or a specific deliverable. The material is unknown, so the team will need to perform ongoing tests until the product meets stakeholder requirements.

The need for documentation should not be a criterion to determine which strategy to adopt to manage the project, since any project management approach is capable of creating documentation in a project. Likewise, the product owner’s risk appetite would not be a deciding factor in the team’s decision on their way of working.","3.1.0.","Hybrid","","draft",""
"single_choice","Which description of a project team suggests the team's throughput is optimized?","The team is only working on one project.","The product backlog is well-defined.","The product owner is colocated with the team.","The project has no change requests.","","A","Throughput analysis assesses the number of items being completed in a fixed timeframe. Ideally, agile teams should not multitask and dedicate their full support to a single project.

While colocation increases the productivity of team members, the product manager’s work does not count toward throughput. Even if the product backlog is well-defined or the scope is stable and no changes are requested, throughput is a metric about execution and is therefore related to how well work is executed, not planned.","3.1.3","Agile","","draft",""
"single_choice","During a daily coordination meeting, a team member indicates that a roadblock to their work is related to activities involving two team member colleagues. How should the team lead approach the situation?","Take note of the problem and add it to the agenda of the next retrospective.","Set up a separate meeting after the daily coordination meeting with the involved team members to discuss the issue.","Extend the daily coordination meeting to include the discussion of the issue, since all members are already present.","Put the work items on hold, allowing the team to work on something else.","","B","Setting up a separate meeting is the best option for two reasons. First, only two team members are involved in the issue and second, the daily coordination meeting is not supposed to accommodate conflict management or issue resolution and should be kept within its timebox.

Waiting until the next retrospective session is not a good idea, since issues need to be resolved as soon as possible. Remember that waiting is a waste to be avoided in agile projects. Finally, asking the team to work on something else won't make the roadblock disappear on its own. The situation needs to be faced, discussed, and resolved.","3.1.3","Agile","","draft",""
"single_choice","An agile development team is discussing the length of their first iteration. Some team members are in favor of a 2-week iteration, whereas others argue for a 3-week iteration.

Who should decide the length of the first iteration?","The product owner","The scrum master or team lead","The customer","The team","","D","Nobody knows the length of the first iteration, so the project team just needs to pick a duration and see how it works. If anyone external to the project team decides, the team loses autonomy and self-management. Agile teams make decisions on their way of working—including iteration length—and can adjust the cadence if necessary.","3.2.0.","Agile","","draft",""
"multiple_response","A business analyst is identifying the basis of the business case for a project to modernize a train station. In addition to stakeholder requirements, which other three factors should the business analyst consider? (Choose 3)","Best practices","Market demands","Technological advances","Legal requirements","Organizational structure","B,C,D","The business need for a project indicates what can solve a problem or enhance an aspect of a business. In addition to requirements provided by named stakeholders and business requirements, a business analyst should consider market demands, legal demands, and technological advances.

Best practices and organizational structure are organizational process assets (OPAs) that are assumed in the context of a business case.","4.3.0","Agnostic","","draft",""
"single_choice","Which of the following options best describes how requirements are typically gathered by a business analyst?","Obtained solely from top management","Extracted from the development team's needs","Identified through collaboration with stakeholders","Generated automatically from existing documentation","","C","Stakeholder collaboration is the best practice for requirements gathering. This approach emphasizes the importance of involving all relevant parties to ensure the requirements capture the actual needs and objectives of the project or initiative. Stakeholder buy-in is often essential to project success.","4.3.0.","Agnostic","","draft",""
"single_choice","A project to prepare a remote building site is using an agile development approach. How does a business analyst know that a product owner has selected a particular user story to be a part of the project?","The user story is being considered during an iteration review.","The user story is included in the product backlog.","A stakeholder approves the user story.","The user story has a high value for complexity.","","B","If a product owner places a user story on the product backlog, that user story is intended to be developed as part of the project.

User stories discussed or considered during an iteration review are not yet approved. An iteration review, also known as a sprint review, is a meeting held at the end of an iteration to demonstrate the work that was accomplished during that period. This meeting is crucial for assessing progress, gathering feedback, and planning future work. Teams will discuss any number of user stories during an iteration review, but they only commit to developing it when it appears on the product backlog. Likewise, even if a stakeholder approves a user story, it is still the product owner’s decision to select the story for development. The complexity value of the story is not relevant to whether it is selected for the project.","4.3.3","Agile","","draft",""
"single_choice","A business analyst wants to help a product development team link its product strategy to the organization’s business strategy and plan releases accordingly. Which technique can the business analyst use to determine the value a feature holds for a proposed release?","Prioritization","Purpose alignment model","Gap analysis","Benchmarking","","B","A purpose alignment model provides a framework to support strategic or product decision- making. The framework is used to categorize options by aligning them with the business purpose they support. The model helps a product team link business strategy to product strategy.

A business analyst uses gap analysis to identify the differences between the current state and the desired future state of a business process, system, or organization. Therefore, it is too broad of an instrument to determine the value of a specific feature. Prioritization is a method of ranking options by factors such as value, complexity, or importance. Benchmarking allows us to compare our product or project with another that has established values or metrics. This comparison helps identify best practices and areas for improvement.","4.4.0","Agnostic","","draft",""
"single_choice","A business analyst is reviewing a burnup chart and product roadmap together. What is the purpose of this review?","Determine how much effort is required to complete the remaining work.","Identify how much work has been completed and assess cost performance.","Determine the actual progress on meeting business requirements.","Assess how the scope has been impacted or changed since project initiation.","","C","The burnup chart shows the progress over time in story points, displaying the actual work completed. The product roadmap tells the story of the product vision at a high level and is used for planning purposes. The business analyst seems to be comparing the product vision with what has been completed thus far, perhaps to help set priorities for what should be done next.","4.5.0.","Agile","","draft",""
"multiple_response","A project development team has completed an iteration. The product owner is assessing whether anything is ready for delivery to the customer. In which two ways can the product owner assess readiness and validate a product for delivery? (Choose 2)","Perform a quality audit.","Measure quality against the definition of done (DoD).","Ask the business analyst to perform verification.","Ask the team to run a product demonstration (demo) and user acceptance testing (UAT).","Check the acceptance criteria and the updated user stories on the product backlog.","B,D","Requirements validation is a precursor to successful product delivery, because validated requirements record exactly what stakeholders want done. This information is used by the project team to complete the work. Through ongoing collaboration with stakeholders and continuous refinement of the user stories on the product backlog, the connection between the work performed and the various requirements is maintained. The project team knows when the work is complete and meets the validated requirements by referring to the listed acceptance criteria and definition of done (DoD). The refinement of user stories on the product backlog, if it happens continuously throughout the iterations of the project, will help to reduce any chance of variance from the quality, stakeholder, business, or other requirements.

The use of a quality audit will provide verification of the process, not the product. Verification is a process by which the business analyst reviews the requirements or other product information for errors, conflicts, and adherence to quality standards. A product demo and user acceptance testing (UAT) can be parts of quality checking, but the UAT is typically done at the end of the project.","4.6.2","Agnostic","","draft",""
