"questionType","prompt","optionA","optionB","optionC","optionD","optionE","correctAnswer","explanation","ecoDomain","performanceDomain","imageUrl","status","difficulty"
"single_choice","A high-profile project to launch a global event is nearly complete, but the team has been experiencing significant stress for the last few weeks while working on-site and away from the office. Ahead of the final on-site visit, the project manager has heard reports of team members crying, arguing, and working very late into the night. During the airplane journey, the project manager reviews the latest project status, confirming all milestones have been met and the project is on track. Arriving on-site, the project manager notices the team seems to be working normally.

How should the project manager approach this situation?","Organize time off for the team at the first available opportunity.","Meet with the team to find out what has really been happening.","Observe and assess the situation using a quality checklist.","Prepare to resolve team conflicts ahead of the project launch.","","B","Under the circumstances, it seems logical the team would be experiencing stress. Late nights and emotional behavior can be normal under stressful conditions. The project manager should use emotional intelligence (EI) and meet with the team to understand what has been happening. This approach will allow the project manager to gather accurate information, address team concerns, and take appropriate actions to resolve any conflicts and reduce stress.

Organizing time off for the team at the first available opportunity might be beneficial but does not address the underlying issues causing stress and conflict. Observing and assessing the situation using a quality checklist might help in assessing the work but does not address the emotional and interpersonal issues the team is facing. Finally, preparing to resolve team conflicts ahead of the project launch is important, but the project manager should first understand the specific issues by meeting with the team.","2.14.","","","draft",""
"multiple_response","Work on a civil engineering project has stopped temporarily because of soaring temperatures. Climate change is affecting workers and infrastructure stability, posing significant risks to continuing the project.

Which two actions should the project manager take to address these challenges? (Choose 2)","Assess the current climate impacts and consider recommending a forced closure of the project to the key stakeholders.","Pivot to a more flexible way of working that includes contingency measures for climate-related risks.","Log the issue in the issue log and escalate the issue to the project sponsor.","Engage a subject matter expert (SME) to analyze the risk impacts and recommend potential solutions.","Increase the project budget to cover potential climate-related costs.","B,D","Climate change impacts require short- and long-term solutions. Pivoting to a more flexible way of working that includes contingency measures for climate-related risks is a good short-term solution. Engaging a subject matter expert (SME) to analyze the risk impacts and recommend potential solutions is a long-term solution. Both solutions are proactive and directly address the challenges posed by climate change.

Assess the current climate impacts and consider recommending a forced closure of the project to the key stakeholders. Closure of the project should only be considered if no other solution can resolve the problem. Logging the issue in the issue log and escalating the issue to the project sponsor suggests that the project manager is not able to solve the problem. Project managers should try to resolve a problem within their sphere of influence before escalating. Finally, increasing the project budget may or may not be possible; this option carries financial risks to the project without directly addressing the immediate threats to worker safety and infrastructure stability.","2.15.","","","draft",""
"single_choice","A construction project has many problems, including cost overruns, communication breakdowns, quality issues, contractor availability problems, and disgruntled stakeholders. What should the project manager do first?","Seek advice from the project sponsor.","Submit a change request.","Forward the issue log to the steering committee.","Notify the team.","","A","In a situation where a construction project has multiple problems, such as cost overruns, communication breakdowns, quality issues, contractor availability problems, and disgruntled stakeholders, the project manager may be understandably overwhelmed. In this case, the project sponsor—the key stakeholder—can advise on what to do next.

A change request will be helpful in taking action once a strategy to move forward can be discussed and decided. Forwarding an issue log to the steering committee is an abdication of responsibility. Notifying the team will not help address the multiple issues because they are probably already aware of the problems.","2.15.","","","draft",""
"single_choice","A project team is completing a project. The team members have become experts in specific project skills. The project management office (PMO) wants the team to prepare a comprehensive record of their work to ensure future teams working on similar projects can benefit from their experience as part of the project deliverables.

What should the project team do?","Conduct a final project meeting and verbally communicate the project outcomes to the new team.","Create detailed documentation, including the work breakdown structure (WBS), project schedule network diagram estimates, and actual performance achieved.","Archive all project emails and communications for future reference.","Document lessons learned throughout the project life cycle and include them in the project closure report.","","D","Documenting lessons learned throughout the project life cycle and including them in the project closure report is essential. Lessons learned capture both positive and negative experiences, providing valuable insights that can help future project teams avoid past mistakes and replicate successful strategies. This documentation should be reviewed and updated regularly to ensure it remains relevant and useful.

Lessons learned documentation captures both positive and negative experiences. A project closure report includes lessons learned to provide a comprehensive record. As a future project benefit, this knowledge will help future teams avoid past mistakes and replicate successes. Continuous improvement ensures ongoing improvement in project management practices.","2.16.","","","draft",""
"multiple_response","A project team was disappointed to learn a project will be discontinued because of changing organizational priorities. As team members begin the project closure work, they realize the vendors may be owed money for work in progress.

Which two actions should the project manager take first? (Choose 2)","Escalate the issue to the project sponsor.","Alert procurement.","Close the contracts.","Check the contract.","Negotiate a solution with the vendors.","B,D","The project manager should first alert the procurement department and check the contract to understand the obligations and terms related to the vendors. These steps will provide the necessary information to address the financial issues and proceed with the project closure effectively.
While escalating the issue to the project sponsor might be necessary at some point, it is not the immediate first step. The project manager should gather all relevant information before escalating. Closing the contracts is a necessary step in project closure but should be done after understanding the contractual obligations and ensuring all financial matters are addressed.
Negotiating with the vendors may be required but should be based on the information gathered from the contract and in coordination with the procurement department.","2.17.","","","draft",""
"single_choice","A project team has recently started work on a project. The project manager wants to ensure the team does a thorough job monitoring the work and processes of this project, because the company is being audited for quality practices.

What should the project manager do next?","Ask team members to prepare individual lessons learned for the project.","Review the quality management plan.","Use the Five whys technique.","Ask a team member to research Lean practices.","","B","Reviewing the quality management plan is the most appropriate action for the project manager to ensure the team thoroughly monitors the work and processes of the project. This plan provides the necessary guidelines and standards for maintaining quality, which is essential for passing a quality audit.

While documenting lessons learned is important, it does not directly help in monitoring the current work and processes for project quality. The 5 Whys technique is a problem-solving method used to identify the root cause of an issue by asking “why” multiple times. While useful for addressing specific problems, this technique does not provide a comprehensive approach to monitoring the work and processes for project quality. Asking a team member to research Lean practices could be beneficial, but researching Lean practices does not directly address the immediate need for monitoring the  work and processes for project quality in preparation for an audit.","2.17.","","","draft",""
"multiple_response","During a daily coordination meeting for a project to retrofit infrastructure, a project team discusses a risk trigger that is imminent and identifies secondary risks. Installation of a heat pump is necessary to cool turbines, but the installation process is creating vibrations that are creating cracks and destabilizing scaffolding where workers are performing other work. As the project manager, you should oversee management of the initial risk and evaluate the impact of the secondary risks.

Which two actions would be most appropriate to ensure comprehensive risk management? (Choose 2)","Allocate additional funds to the contingency reserve to cover the identified secondary risks.","Reassess the initial risk and adjust the management reserve accordingly.","Update the risk register to include the secondary risks and develop new risk responses.","Conduct a risk analysis to determine the impact of secondary risks on the project.","Enact the risk response for the scaffolding, then observe and monitor for residual risks.","C,D","Updating the risk register and conducting a risk analysis are key actions to ensure comprehensive risk management. These steps help in identifying, documenting, and analyzing secondary risks, allowing the project team to develop and implement effective risk responses. This proactive approach minimizes the impact of risks on the project, ensuring its successful completion.

While allocating additional funds to the contingency reserve can be a part of risk management, it is not the most immediate or comprehensive action. This option does not address the need to document and analyze the secondary risks or develop specific responses to mitigate them. Reassessing the initial risk is important, but it does not directly address the secondary risks that have been identified. Adjusting the management reserve might be necessary, but it should follow a thorough analysis and documentation of the secondary risks. Enacting the risk response for the scaffolding is a reactive measure and does not encompass the broader scope of comprehensive risk management. It addresses only one aspect of the secondary risks without considering the overall impact on the project.","2.3","","","draft",""
"single_choice","A project to insulate public buildings has a limited budget and strict financial constraints. Because of the many parties requiring oversight of project activities, the project has an established governance board comprising eight stakeholders. During the execution phase, the project manager notices the project is experiencing budget variations due to unforeseen expenses.

What should the project manager do next?","Investigate the budget variations using root cause analysis and inform the board of the causes.","Pivot to a just-in-time budget approach and regularly report budget status to the project sponsor.","Increase the project contingency reserve to cover any unexpected expenses without alerting the governance board.","Ask the project sponsor to establish a change control board (CCB) to review budget changes.","","A","The preferred response for the project manager is to investigate the budget variations using root cause analysis and inform the board of the causes. This approach ensures the project manager understands the reasons behind the budget variations and maintains transparency with the governance board.

A just-in-time budget approach can be useful in some contexts but may not be suitable for a project with strict financial constraints and multiple stakeholders. Increasing the contingency reserve without informing the governance board is not advisable; it lacks transparency and may lead to trust issues with stakeholders. The governance board should be aware of any changes to the budget. Establishing a change control board (CCB) can be beneficial for managing changes but may not be the immediate solution to address the current budget variations. The project manager should first investigate the causes and inform the governance board.","2.5","","","draft",""
"single_choice","A hybrid approach has been used in a project to optimize traffic flow in a major urban center. The scope is fixed because stakeholders need a plan to incorporate motorized, nonmotorized, and pedestrian traffic while meeting noise and air pollution limits or face stiff penalties. The project team is dedicated to working as efficiently as possible on solutions so they opt for a continuous flow approach.

Which backlog refinement approach should the project manager recommend to the product owner?","Conduct backlog refinement sessions once at the beginning of the project and then as needed.","Perform backlog refinement sessions at regular intervals such as weekly or biweekly.","Perform backlog refinement sessions only when new requirements are introduced by stakeholders.","Conduct backlog refinement sessions at the end of each phase during the phase review meeting.","","B","As the project manager, you should schedule backlog refinement sessions at regular intervals such as weekly or biweekly. This is the correct option because in a hybrid project with a fixed scope and continuous flow approach, regular backlog refinement sessions help maintain alignment with project goals and ensure the backlog is continuously updated and prioritized. This approach supports the continuous flow of work and helps the team address any changes or new insights promptly.

Conducting backlog refinement sessions once at the beginning of the project, then as needed, may lead to an outdated backlog and does not support the continuous flow and alignment required for the project. Performing backlog refinement sessions only when new requirements are introduced by stakeholders can result in a backlog that is not regularly maintained, leading to inefficiencies and potential delays in addressing issues. Conducting backlog refinement sessions at the end of each phase during the phase review meeting does not support the continuous flow approach of a hybrid project, which requires more frequent updates and adjustments.","2.8","","","draft",""
"single_choice","A project manager is leading a large-scale infrastructure project with high risk and complexity. This project will require steering committee approvals during the design and procurement phases to determine approval for the next phase.

Which approach should the project manager take?","Draft an initial set of plans and progressively elaborate them as the project progresses.","Develop a detailed and comprehensive project management plan with defined phase gates and approval criteria.","Use an agile approach to allow for flexibility and iterative development.","Create a robust risk strategy and detailed risk management plan and rely on the expertise of the project team to manage risks.","","B","Given the high risk and complexity of the project, a detailed and comprehensive project management plan is essential. This plan should include clearly defined phase gates and approval criteria to ensure each phase meets the necessary standards before proceeding to the next. This approach helps manage risks and ensures the project stays on track.

The other options do not provide the necessary structure and rigor required for the project. Agile approaches are beneficial for projects requiring flexibility and iterative development, but they may not be suitable for large-scale infrastructure projects with high risk and complexity. Such projects typically require a more structured and predictive approach with defined phase gates. A high-level plan, with adjustments made as the project progresses, may not provide the necessary detail and structure required. Instead, this approach could lead to insufficient planning and increased risk. Finally, while the expertise of the project team is valuable, relying solely on their judgment without formal phase gates and approvals can lead to unmanaged risks and potential project failures. Formal phase gates ensure critical decisions are reviewed and approved by the steering committee.","2.9","","","draft",""
"single_choice","A project manager is leading a construction project to build a new office building. The project has multiple stakeholders, including the client, contractors, and local government authorities. The project manager recently noticed that team members and stakeholders frequently ask questions about the project details and schedule, and tasks are experiencing significant delays.

What might this indicate to the project manager?","The project management plan is not updated or integrated.","Team members have not received adequate training.","The project manager is too involved in the work of the team.","The critical path was calculated incorrectly.","","A","The most likely indication for the project manager is that the project management plan is not updated or integrated. This can lead to confusion and lack of coordination among team members and stakeholders, resulting in frequent questions and significant delays. Ensuring the project management plan is current and well-integrated can help provide clear guidance and improve coordination. An integrated project management plan ensures all aspects of the project are aligned and information is communicated effectively.

While lack of training can cause misunderstandings and inefficiencies, it is less likely to be the primary reason for frequent questions and significant delays if the project management plan is up to date and well-integrated. The project manager's level of involvement in the work may be an issue from the point of view of the team but is less likely to be the primary cause of frequent questions and significant delays related to project details and schedule. An error in calculating the critical path could lead to scheduling issues and delays. However, this is a more specific issue and may not fully explain the frequent questions about project details.","2.9.","","","draft",""
"single_choice","A project team is building new infrastructure for government schools in a rural area. During the planning phase, the project manager identifies several compliance requirements related to environmental regulations, safety standards, and local government policies.

Which of the following actions should the project manager take to ensure compliance throughout the project life cycle?","Assign a team member to monitor compliance and report any issues directly to the project sponsor.","Include compliance requirements in the project charter and ensure all team members are aware of them.","Develop a risk management plan that outlines how compliance will be monitored and controlled.","Schedule regular meetings with local government officials to review compliance requirements and project progress.","","C","The project manager should develop a risk management plan that outlines how compliance will be monitored and controlled to provide a comprehensive and structured approach to compliance throughout the project life cycle. The other options, while beneficial in certain aspects, do not offer the same level of systematic monitoring and controlling needed to manage compliance effectively.

Assigning a team member to monitor compliance is good practice, but it is not sufficient on its own. Including compliance requirements in the project charter is important, but it is not enough to ensure ongoing compliance. The project charter is a high-level document, and simply making team members aware of compliance requirements does not provide a mechanism for monitoring and controlling compliance. Scheduling regular meetings with local government officials is beneficial for maintaining good relationships and staying informed about compliance requirements. However, this action alone does not provide a comprehensive approach to monitoring and controlling compliance throughout the project life cycle.","3.1","","","draft",""
"single_choice","A project manager has recently been assigned to lead a project in the pharmaceutical industry. The project manager has extensive experience in managing IT projects but is unfamiliar with the specific regulations and compliance requirements of the pharmaceutical sector. During the initial phase of the project, the project manager realizes the project team is struggling to meet the regulatory standards required for the project.

What should this project manager do first?","Ask the stakeholders and subject matter experts (SMEs) for help identifying potential compliance issues and consulting lessons learned.","Conduct a thorough risk assessment to identify potential compliance issues and develop a mitigation plan.","Delegate the responsibility of understanding the regulations to a team member with some experience in the pharmaceutical industry.","Request additional resources from senior management to hire a consultant with expertise in pharmaceutical regulations.","","A","In this scenario, the project manager is new to the pharmaceutical industry and should address the regulatory compliance issues the project team is facing. The preferred initial step for the project manager is to ask stakeholders and subject matter experts (SMEs) for help in identifying potential compliance issues and consulting lessons learned. This approach leverages existing knowledge and experience within the organization, providing the project manager with a solid foundation to understand the regulatory requirements. Once the project manager has a better understanding, they can then conduct a thorough risk assessment and develop a mitigation plan or consider hiring a consultant if necessary.

Conducting a thorough risk assessment is not the preferred answer, because the project manager does not have the knowledge to do it properly. Risk assessments are crucial for identifying potential compliance issues early in the project and allow the project manager to develop a mitigation plan to address risks proactively. Delegating responsibility can be effective, but it may not be the preferred initial step. The project manager should have a fundamental understanding of the regulatory requirements to lead the project effectively. Relying solely on a team member may not provide the comprehensive understanding needed to ensure compliance.","3.1.","","","draft",""
"single_choice","Two project team members used a credit card belonging to the company to buy lunch. How should the project manager respond?","Report the incident to the finance department and ensure team members reimburse the company for the expense.","Assess the impact of the expense on the budget and decide if it is an important issue to address.","Discuss the issue with the team members to understand their reasoning and explain proper use of the company credit card.","Address the indiscretion in the next team meeting so that everyone understands the issue and to set an example.","","C","In this case, you should discuss the issue with the team members to understand their reasoning and explain proper use of the project credit card. Reporting the incident to the finance department is a more extreme response. You should speak with the team members first, then decide if the incident should be reported. Ensuring the team members reimburse the project for the expense may be a part of the solution, but you can negotiate that without reporting them to the finance department. While assessing the impact on the budget is a good practice, it does not address misuse of the project credit card. The primary issue here is the inappropriate use of project funds, which needs to be corrected regardless of the budget impact. Ignoring the misuse could set a precedent for future inappropriate behavior. Publicly reprimanding team members can create a negative team environment and may lead to resentment and decreased morale. It is more effective to handle such issues privately, ensuring the individuals involved understand the mistake and the correct procedures, while maintaining a positive and respectful team atmosphere.","1.12.","","","draft",""
"multiple_response","A project manager is managing a large-scale IT project for a multinational corporation. A senior executive in the company is a key stakeholder with significant influence over the success of the project. The project manager has been instructed to mentor the stakeholder.

Which two actions should the project manager take? (Choose 2)","Include this stakeholder in all project communications and meetings.","Recommend the stakeholder attend project management webinars.","Schedule biweekly meetings to discuss project progress, challenges, and strategic alignment.","Facilitate ongoing discussions with the stakeholder about organizational strategy and vision.","Share a product roadmap with the stakeholder and facilitate a guided discussion about the project.","C,E","Schedule biweekly meetings to discuss project progress, challenges, and strategic alignment. Regular meetings with the stakeholder help ensure they are kept informed about project status, challenges, and how the project aligns with the strategic goals of the organization. This fosters a strong mentoring relationship and ensures stakeholder influence is effectively leveraged. Sharing a product roadmap and discussing the project can be useful to provide the stakeholder with a high-level view of the project. In this discussion, the project manager could show how the project aligns with strategic objectives.

While keeping the stakeholder informed is important, including them in all communications and meetings may be impractical and overwhelming. This approach does not specifically address the mentoring aspect and could lead to information overload. Although attending webinars can be beneficial, it is a more passive form of learning and does not provide the direct, personalized mentoring the project manager is instructed to provide. Attending webinars also does not ensure active engagement of the stakeholder in the strategic aspects of the project. The stakeholder may perceive the project manager does not want to engage directly with them, which is antithetical to mentoring. Facilitating ongoing discussions about organizational strategy and vision with the stakeholder is a good approach to building a relationship with the stakeholder, but only if the discussions are specifically aligned with the project.","1.13.","","","draft",""
