"questionType","prompt","optionA","optionB","optionC","optionD","optionE","correctAnswer","explanation","ecoDomain","performanceDomain","imageUrl","status","difficulty"
"multiple_response","Which three options can be used to address uncertain risks or unexpected activities within the scope of work? (Choose 3)","Budget at completion (BAC)","Contingency reserve","Management reserve","Earned value management (EVM","Float","B,C,E","The contingency reserve is allocated for identified risks that are accepted and for which contingent or mitigating responses are developed. The contingency reserve is used to manage known-unknowns and is included in the cost baseline of the project. The management reserve is set aside for unforeseen work that is within the scope of the project. It is used to manage unknown-unknowns and is not included in the cost baseline of the project but is part of the overall project budget. Also known as slack, float is the amount of time that a task in a project network can be delayed without causing a delay to subsequent tasks or the project completion date. Float provides flexibility in the schedule to address unexpected activities.

Budget at completion (BAC) is the total budget allocated for the project and is not specifically used to address uncertain risks or unexpected activities but rather represents the overall planned expenditure. Earned value management (EVM) is a project management technique for measuring project performance and progress. While it helps in tracking and managing project performance, it is not a reserve or buffer used to address uncertain risks or unexpected activities.","2.3.1","Predictive","","draft",""
"single_choice","A group comprising project stakeholders and organizational managers related to a project meet to approve a scope increase in a current project. What is this group called?","Project management office (PMO)","Steering committee","Change control board (CCB)","Executive committee","","C","The change control board (CCB) is a group of stakeholders and managers responsible for reviewing, evaluating, and approving or rejecting changes to the project scope, schedule, and cost. The CCB ensures any changes are thoroughly assessed for their impact on the project and align with the objectives and constraints of the project.

The project management office (PMO) provides support and governance for project management practices within an organization. While the PMO may be involved in the change control process, it is not the specific group responsible for approving scope changes. The steering committee is typically a high-level group that provides strategic direction and oversight for a project. While they may be involved in major decisions, the specific responsibility for approving scope changes typically lies with the CCB. The executive committee is a senior management group that oversees the overall strategic direction of the organization. The executive committee may be involved in high-level project decisions, but the detailed review and approval of scope changes are typically handled by the CCB.","2.3","Predictive","","draft",""
"single_choice","Which action should a project team take after a change request is rejected?","Change the project baselines.","Escalate the request to the project sponsor.","Implement corrective action.","Update the change log.","","D","When a change request is rejected, the project team should document this decision in the change log. The change log is a record of all change requests, their status, and the outcomes of the change control process. Updating the change log ensures there is a clear and traceable record of the decision, which is important for project documentation and future reference.

Changing the project baselines is not appropriate after a change request is rejected. The baselines should only be updated if a change request is approved and implemented. Escalating the request to the project sponsor is not necessary if the change request has already been reviewed and rejected through the proper change control process. The decision should be respected and documented. Implementing corrective action is not relevant in this context. Corrective actions are taken to address issues or deviations from the project management plan, not to respond to a rejected change request.","2.3","Predictive","","draft",""
"single_choice","An established food manufacturing company authorizes a project to develop a new product line of healthy snacks. The project has many stakeholders, and the product should complete all required testing and be on the market within 18 months. Stakeholder input will be required on a continual basis to develop the right taste, look, and price point for the product.

Which approach is best suited for this project?","Adaptive","Hybrid","Predictive","Incremental","","B","The correct answer is hybrid. The timeline requirement is the first clue. Projects with timelines work toward a defined end point. The company is established and experienced in the work of the project, so this adds an element of certainty to team member capability and ability to execute successfully. The risk or uncertainty in the project is related to the stakeholder input requirement. The product requirements are not defined and must be progressively elaborated or developed iteratively or incrementally.

Adaptive is not the right approach for this project. Adaptive projects have defined initial baseline requirements but allow changes to occur during feedback due to uncertainties documented at project initiation. Predictive is incorrect, because the predictive approach establishes a well-defined baseline. Any feedback or changes would have to undergo the Perform Integrated Change Control process, which takes some time and effort. Incremental is also incorrect because it is only a partial answer that describes the product scope development aspect of the project.","3.1","Agile","","draft",""
"single_choice","A global company specializes in custom-designed swimwear. The company is very customer-oriented and launches a social media campaign seeking customer input on the perfect swimsuit. The designs for the following season will be chosen from customer input.
Manufacturing must start in 60 days.

Which project development approach should the project team use?","Because this is a high-risk project, the company should use a predictive approach.","An experienced agile project team can use several timeboxed iterations to create prototypes.","Since the manufacturing timeline is a 60-day constraint, the team should use a predictive approach with a controlled scope.","Incorporating customer feedback is essential to guide the team before manufacturing, so an adaptive approach is suitable.","","D","An agile approach is well-suited for projects where customer feedback is crucial. This approach allows the team to iterate on designs based on customer input, ensuring the final product aligns with customer preferences. Given the 60-day timeline, the team can use short iterations to gather feedback and refine the designs quickly.
While a predictive approach can manage risks through detailed planning, it is less flexible in incorporating ongoing customer feedback, which is essential in this scenario.
In the case of an experienced agile project team using timeboxed iterations to create prototypes, this does not explicitly address the importance of customer feedback in guiding the team before manufacturing. The focus should be on the adaptive nature of the approach to incorporate feedback. Finally, since the manufacturing timeline is a 60-day constraint, the team should use a predictive approach with a controlled scope. This approach may not provide the flexibility needed to incorporate customer feedback effectively within the timeline.","3.1.2","Agnostic","","draft",""
"single_choice","A project team is reviewing a project charter for a new project to build a coffee press prototype. Which tool or technique should the team use?","Three-point estimation","Voting","Brainstorming","Tornado diagram","","C","Brainstorming is a way of generating ideas and getting the team to think about how to start the project. In this case, the team can think and talk through ideas in a brainstorming session to build the best coffee press prototype.

The three-point estimation technique is used for estimating the duration or cost of project activities by considering three scenarios (optimistic, pessimistic, and most likely). While useful for estimation, three-point estimation is not the initial step for starting work on a new project. Voting is a decision-making technique used to prioritize or select options based on team consensus and is not typically used as the initial step for starting work on a new project. A tornado diagram is a visual tool used in sensitivity analysis to identify the variables with the most significant impact on project outcomes. A tornado diagram is more relevant for risk analysis and decision-making rather than starting work on a new project.","3.3","Hybrid","","draft",""
"single_choice","A project team is using an agile approach to equip a fleet of trucks using sustainable fuel technology. The project sponsor is aware of several scope changes and wants to know the current project scope.

Which artifact can the project team and product owner use to satisfy the request of the project sponsor?","Roadmap","Burnup chart","Velocity chart","Product backlog","","D","As customer feedback is incorporated into an agile project, the changes are reflected in the product backlog. Any request for a change is evaluated by the product owner and project team, and a decision is made to implement it or not. The product backlog is the ordered list of all the work to be performed, so this will provide an updated vision of the project scope.

A product roadmap provides a high-level overview of the goals and major milestones of the project over time. While useful for strategic planning, it does not provide the detailed and current scope information the product backlog offers. A burnup chart shows the amount of work completed versus the total amount of work over time. The burnup chart is useful for tracking progress but does not provide detailed scope information. A velocity chart tracks the amount of work completed in each iteration or sprint, helps in forecasting future work, but does not provide detailed scope information.","3.3","Agile","","draft",""
"single_choice","A project team is using the Kanban framework to develop a content portal. A backlog item is approved and placed on the iteration backlog.

What should the project team do next?","Reflect on the feedback and adjust their content strategy.","Pull the following topic from the backlog for execution.","Schedule a meeting to discuss the feedback with stakeholders.","Prioritize upcoming backlog items.","","B","After a backlog item is approved and published on the iteration backlog, it is available for the team to begin work. The project team pulls the following topic from the content backlog for writing. Kanban is based on a pull system.

The Kanban framework does not include periods of reflection for feedback and strategic adjustment. Regular stakeholder feedback meetings are not exclusive to Kanban, which emphasizes flow and continuity, not constant strategy reworks.","3.4","Agile","","draft",""
"multiple_response","What are three agile ceremonies or artifacts that enable communication, collaboration, and quality controls? (Choose 3)","Backlog","Daily coordination meeting","Product increment","Retrospective","Minimum viable product (MVP)","A,B,D","Daily coordination meetings are 10- to 15-minute meetings in which the team discusses any issues regarding the project, including impediments. The retrospective is an important review of the lessons learned and plan improvement actions. The backlog is where the project team and product owner collaborate and order work. These are the three ceremonies or artifacts that enable communication, collaboration, and quality controls.

A product increment is a releasable amount of the final product, and the minimum viable product (MVP) can be considered a quality control in that it represents the threshold of acceptable quality for the final product. The MVP is a result of collaboration between the project team and product owner, but it does not facilitate communication.","3.4.1","Agile","","draft",""
"single_choice","At the end of a project, a client questions why a specific deliverable was included in the scope. Which business analysis tool should a project manager reference to explain to the client the purpose for that deliverable?","Requirements traceability matrix","Prioritization matrix","Situation statement","Product roadmap","","A","The correct answer is the requirements traceability matrix, because a requirements traceability matrix links the product requirements from their origin to the deliverables that satisfy them.

A prioritization matrix is used to prioritize project requirements or tasks based on certain criteria such as value, urgency, or impact. While it helps in decision-making, it does not provide a direct explanation of why a specific deliverable was included in the scope.
The situation statement outlines the problem or opportunity the project aims to address and is useful for understanding the context of the project but does not provide detailed traceability of specific deliverables. The product roadmap is a high-level visual summary that maps out the vision and direction of the product over time. While it provides an overview of the development of the product, it does not offer detailed traceability of individual deliverables.","4.3.0","Agnostic","","draft",""
"single_choice","A business analyst has been struggling to assemble data for a business case for several months. Gathering detailed information has been challenging, because the stakeholders often provide generic company talking points, which is hindering progress of the business analyst.

Which approach should the business analyst take to get the necessary detailed information?","Ask focused and open-ended questions until enough information is provided.","Hire an external facilitator to conduct information sessions.","Interview people close to the stakeholders to obtain contextual information.","Send a digital survey to the stakeholders with a variety of questions.","","A","When a business analyst is struggling to gather detailed information for a business case due to stakeholders providing generic responses, the most effective approach is asking focused and open-ended questions until enough information is provided. This approach allows the business analyst to guide the conversation and delve deeper into specific areas. Focused questions help specify the topic, whereas open-ended questions encourage stakeholders to provide more detailed and comprehensive responses. This method is effective in extracting the necessary detailed information that generic talking points fail to provide.

While hiring an external facilitator might help in some situations, it may not be the most efficient or cost-effective solution. The facilitator may also face the same challenges in getting detailed information if stakeholders continue to provide generic responses. Interviewing people close to the stakeholders to obtain contextual information might provide some additional context but is indirect and may not yield the specific detailed information needed for the business case. This approach also risks misinterpretation or second-hand information that may not be accurate. Sending a digital survey to the stakeholders with a variety of questions can be useful for gathering broad information, but they may not be effective in obtaining detailed responses. Stakeholders might still provide generic answers, and the lack of immediate interaction makes it difficult to probe deeper into specific areas.","4.3.2","Agnostic","","draft",""
"single_choice","A project team is working on a small project with only a few requirements. The team wants to show management how these requirements correspond to the project deliverables.

Which tool should the team and business analyst use to show management how these requirements correspond to the project deliverables?","Responsibility assignment matrix","Requirements traceability matrix","Milestone chart","Product roadmap","","B","In the scenario where a project team is working on a small project with only a few requirements and wants to show management how these requirements correspond to the project deliverables, the most appropriate tool to use is the requirements traceability matrix. This tool is specifically designed to map and trace the relationship between requirements and project deliverables. It ensures each requirement is linked to its corresponding deliverable, providing a clear and detailed view of how the project requirements are being met. This matrix helps in demonstrating to management the alignment between what is required and what is being delivered.

The responsibility assignment matrix is used to define and document the roles and responsibilities of team members for various project tasks and does not show the correspondence between requirements and deliverables. The milestone chart is used to track significant points or events in the project timeline. While it is useful for project scheduling and tracking progress, the milestone chart does not map requirements to deliverables.

The product roadmap is a high-level visual summary that outlines the vision, direction, and progress of a product over time. It provides an overview of product development but does not detail the correspondence between specific requirements and deliverables.","4.3.3","Agnostic","","draft",""
"single_choice","A business analyst is in the process of developing a product roadmap. Which planning component is a prerequisite in this process?","Release plan","Identified stakeholders","Product vision","Story map","","C","In the scenario where a business analyst is developing a product roadmap, the most critical planning component that serves as a prerequisite is the product vision. The product vision is a high-level description of the purpose, goals, and value the product aims to deliver to customers. The product vision provides a clear direction and sets the foundation for all subsequent planning activities, including the development of the product roadmap. Without a well-defined product vision, it is challenging to create a coherent and aligned roadmap.

The release plan outlines the schedule for delivering product increments or releases. While important, the release plan is not a prerequisite for developing the product roadmap. The product roadmap should be based on the product vision and then inform the release plan. Identifying stakeholders is crucial for understanding who will be impacted by the product and who needs to be involved in the planning process. However, it is not a prerequisite for developing the product roadmap. The product vision should be established first to guide stakeholder engagement. A story map is a visual representation of the user stories of the product and their sequence and helps in organizing and prioritizing work but is not a prerequisite for the product roadmap. The product vision should guide the creation of the story map.","4.4.","Agnostic","","draft",""
"single_choice","When does a business analyst perform the Conduct Elicitation process in a project with a timeboxed agile development approach?","At initiation, while creating the initial product backlog","At each milestone, when a new phase starts","During each iteration","When the product owner requests an update","","C","In an agile development approach, requirements elicitation is an ongoing process that occurs during each iteration. This process allows the team to continuously gather and refine requirements based on feedback and evolving project needs. Conducting elicitation during each iteration ensures the requirements are current, relevant, and aligned with the goals of the project.

While initial requirements elicitation may occur during the creation of the product backlog, it is not limited to this phase. Elicitation is a continuous process in agile projects. Agile projects typically do not follow a phase-based approach with distinct milestones. Instead, agile projects use iterations or sprints, making this option less relevant. And while the product owner may request updates, elicitation is a proactive and continuous process that occurs throughout each iteration, not just upon request.","4.5.","Agile","","draft",""
"single_choice","An agile project team working on a software development project has completed the coding tasks and now needs to validate the product requirements. Which of the following steps should the team take?","Perform a benefits analysis.","Verify all user stories are fulfilled.","Conduct user acceptance testing (UAT).","Consult the requirements traceability matrix.","","C","The preferred course of action is to conduct user acceptance testing (UAT), which is a critical step in validating the product meets the requirements specified by the stakeholders. UAT is the process where the end users or stakeholders test the software to ensure it meets their requirements and works as expected in real-world scenarios. This step is crucial for validating the product requirements have been met and the software is ready for deployment.

Performing a benefits analysis involves evaluating the benefits of the project to ensure it delivers the expected value. While important, it is not directly related to validating the product requirements have been met. While verifying that all user stories are fulfilled is important, it is typically part of the development and review process. UAT is a more comprehensive step that involves actual users testing the software in real-world conditions. The requirements traceability matrix is a tool used to ensure all requirements are accounted for throughout the project life cycle. While useful for tracking requirements, the requirements traceability matrix does not involve actual validation of the product by end users.","4.6.2","Agnostic","","draft",""
