"questionType","prompt","optionA","optionB","optionC","optionD","optionE","correctAnswer","explanation","ecoDomain","performanceDomain","imageUrl","status","difficulty"
"single_choice","A project team working in a city’s transportation agency is planning the launch of a 24-hour subway service for the first time in its 120-year history. One month before the launch, a terrible electrical accident shuts down service for the whole city, causing injuries and millions of dollars of damage to the infrastructure.

What should the project manager do?","Close the project.","Consult the communications management plan.","Review the risk register.","Contact the project sponsor.","","C","Disaster has struck this project. A risk has become an issue and the project manager needs to review the register to know what the response should be. Closing the project may happen later, after assessment and consultation with the sponsor, the organization, and stakeholders. The appropriate communications can be known by consulting the communications management plan.","II.15 Manage project issues
II.3 Assess and manage risk","Agnostic","","draft",""
"single_choice","A project to train kitchen personnel in process efficiencies for a restaurant franchise has a small project team of four people. It is essential that this team has a broad understanding of the franchise's business processes so they can create training that delivers the efficiencies required across the business.

Which team member already has T-shaped skills that would be beneficial to this project?

A - Project manager with 30 years of experience leading business development projects
B - Training specialist with 10 years of experience in menu development
C - Team member with 5 years of experience leading teams, who also is scrum master
D - Team lead for finance and operations, who was once the owner/operator of a franchise","Team member A","Team member B","Team member C","Team member D","","D","The T-shaped team member is the team lead for finance and operations. Because of their experience running this kind of business, this team member has the greatest depth and breadth of relevant experience among the four listed.","I.5 Ensure team members/stakeholders are adequately trained","Agnostic","","draft",""
"single_choice","At the beginning of a customer service improvement project, two stakeholders are noted as “resistant” on the stakeholder engagement assessment matrix (SEAM):

•	A finance executive who says the cost of the project is too high
•	The customer care team that wants better salaries and working conditions.

All other stakeholders support the project.

After months of difficult negotiations, the customer care stakeholder group is now noted as “neutral,” though final agreements must be signed; this is ongoing and will take significant time and effort. The finance executive continues to state that the cost of the project is too high.

What should the project manager do?","Use personal influence to gain agreement with the finance executive while  negotiations with the  customer care stakeholders continue.","Focus on negotiating the final agreements for the customer care stakeholder group at a cost that also satisfies the finance executive.","Ask the supportive stakeholders to explain or justify the cost of the salary increases to the finance executive.","Send an email to all stakeholders, stating the problem and urging them to find a solution.","","B","The only way to successfully steward this project to conclusion is to gain the consent of both resistant stakeholders. Right now, they are siloed from one another, but their issues with the project are interdependent. Going for a “quick win” by using personal influence is risky because stakeholders need real solutions that deliver benefits. Asking one set of stakeholders to mediate a solution with another is not appropriate for a project steward. That is the project professional’s job. Asking all the stakeholders to find a solution seems more like abdicating responsibility than managing a project. The only way forward is to negotiate with the customer care stakeholders toward a mutually agreed set of conditions that will also satisfy the finance executive’s concerns about cost.","I.9 Collaborate with stakeholders","Agnostic","","draft",""
"single_choice","An agile team member has an extremely varied skill set and performs their work well on projects. This team member has been allocated to many different roles during their work history at the company. For this reason, the team member states, “I feel like I am put on projects randomly. I am not getting anywhere, and the company does not value my work.”

What should the team lead do?","Coach the team member and help them to find a suitable mentor for career development.","Reassure the team member about their value as a T-shaped team member.","Encourage the team member to become more emotionally intelligent .","Urge the team member to get as many certifications as possible.","","A","The team member’s perception of their professional value is flawed. This is a T-shaped team member, or a generalizing specialist, which is the ideal kind of project team member. They need to be coached so that they understand this and should be encouraged to find a mentor who can help them add professional value to their career. All other options are valid ways of increasing our professional value, but in this case, the problem is that the team member misunderstands how valuable they already are.","I.5 Ensure team members/stakeholders are adequately trained
I.13 Mentor relevant stakeholders","Agile","","draft",""
"multiple_response","An established farm is struggling to maintain profitability and plans to integrate an agro-tourism project to expand the business. They hire a project manager and personnel and initiate a project. The new team members will be shared resources for both the farm and the playground project. The farm needs to continue generating cash flow to support operations until the project is integrated--in 8 months.

By the second month, the project manager learns that farm production performance has decreased drastically because the project takes up a lot of the team's time. Which two approaches should the project manager consider to provide the best chance for the business to succeed and produce the desired outcomes? (Choose two)","Establish clear role delineations for the team members.","Create roadmaps for farm production and the playground project, with clear value delivery goals for each.","Focus on the farm operations first to stabilize processes because this is the main revenue earner.","Create a project management plan that combines the farm and the playground.","Decide between the farm or the playground business option.","A,B","This project manager needs to use the right tools and techniques to assist in ensuring successful outcomes. In this case, a set of roadmaps and clearer role delineation should result in better team performance. By creating roadmaps for farm production and the playground project, the project manager will underline the value delivery goals and be able to focus on delivering them. Since the farm and playground are sharing resources, the best choice is to figure out how to execute work now that leads to desired outcomes. A project management plan for the playground should already exist, but the farm business is the business operation, which is outside the scope of the project. Splitting the businesses or giving up one are both possible, but the question asks which option provides the best chance for the businesses to succeed and produce desired outcomes.","II.13 Determine appropriate project methodology/methods and practices
III.4 Support organizational change","Agnostic","","draft",""
"single_choice","A company is undergoing a global enterprise-level transformation. In 3 years, they will end 85 years of publishing books and instead offer tutored, virtual learning communities.

The first big project is to refit the factories and warehouses as film studios. The project management office (PMO) authorizes a project using a predictive life cycle, and that work begins. However, the learning community designers (key stakeholders) keep requesting design changes, which has caused delays and costly rework. With 18 months left, the team is getting nervous.

How should the project manager respond?","Continue to process the designers’ changes using the change control process.","Suspend the project until the designers finalize their decisions and then restart work.","Limit the changes to critical ones only and initiate another project afterwards to retrofit the studios with further changes.","Pivot to an iterative development approach to capture designer feedback at set intervals during construction.","","D","When a project is being delayed consistently and significantly with changes from stakeholders, it is time to consider a different approach to handling changes. In this case, the team can take the designers’ feedback in iterations as part of the project work. This will ensure the project continues to develop what the company really needs. In this case, the other approaches suggested would eventually work, but the work needs to be done and ready in a demanding time line.","III.4 Support organizational change
II.13 Determine project approach","Hybrid","","draft",""
"single_choice","During a busy period of organizational change, team members on project L are allocated as follows:

•	60% of working hours – project L
•	20% of working hours – company-wide organizational change project
•	20% of working hours – functional role

Project L is progressing according to schedule and budget, but a few minor quality factors are being neglected. The project manager is prioritizing on-time delivery and the very dedicated team asks about working overtime to improve quality.

How should the project manager respond?","Avoid granting the overtime request; instead, ask the functional managers if the project can borrow them for a few weeks.","Avoid granting the overtime request; instead, ask the organizational change project leader to do without them for a few weeks.","Collaborate with the managers and the organizational change project leader to compromise on how team members can spend more time on project L.","Grant the overtime request for the team members and find a way to pay for it with the existing project budget.","","C","Organizational changes or transformations are a very busy time for organizations. In these cases, it is imperative to collaborate with stakeholders in a positive way. Especially when sharing resources, project leaders need to realize that they may already be stretched between the roles they are assigned on projects, their functional or organizational roles, and their participation in the transformation work. In this case, the quality issues are minor. If they were major issues, the project manager should definitely assess them and decide on action. However, an additional challenge here would be the budget and whether the project would be able to pay for the overtime.","III.4 – Support organizational change","Agnostic","","draft",""
"single_choice","A hotel chain wants to improve the customer loyalty program by increasing the number of returning guests by 35%. The project manager finds two strong opinions:

• Stakeholder J suggests that the sales teams focus on the top 10 corporate clients and incentivize them toward exclusive use of this hotel chain

• Stakeholder M suggests improving the quality of their airport sites, which already have a large number of repeat guests. Stakeholder M also insists the chain cannot compete in larger markets, so the strategy stakeholder J suggests will fail.

In a dramatic escalation, stakeholder M sends an email to the project manager and the entire leadership team accusing stakeholder J of having a bias.

What should the project manager do first?","Mediate between the two stakeholders and determine an initial scope that satisfies both.","Coach stakeholder M about professional behavior and ask them to apologize to stakeholder J.","Escalate this as an issue to human resources.","Remove stakeholder M from the project for violation of ethical standards.","","A","The problem in this scenario is stakeholder M’s behavior, which is challenging. Accusing stakeholder J of having a bias could be perceived as a personal attack, but it could also be a very awkward way of stating a fact. We know that conflict is in a mature stage (“contest” in the Leas model) and must be handled right away. Trying one more time to determine an initial scope is the best answer. It focuses on the solution and not the personal battle. However, if neither coaching nor mediation work, escalation may become the only option. It is likely not within any project manager’s authority to remove stakeholders from projects, even though this would bring a calmer situation.","I.8 Negotiate project agreements
I.1 Manage conflict","Agnostic","","draft",""
"single_choice","At the start of a project, stakeholders agreed to expedite approval of the project charter and project management plan to get the project started on time. But after the first sample batch is sent to the customer, a serious problem is discovered:

Customer: “Samples sent over for approval are inferior, with failure rate of 27%. . .  thought we agreed 15% as maximum failure rate.”

The project manager checks the project management plan and discovers that “good quality” was noted as the acceptance criteria instead of the usual number range for failure rate. The other stakeholders are willing to approve the batch with a 20-25% failure rate, but the customer rejects this idea.

What should the project manager do, and which artifact should be updated?","Update the project management plan with the required 15% failure rate and  seek approval to deliver the goods incrementally, with some past the original due date.","Persuade the customer to accept the loss in quality in exchange for on-time delivery and update the issue log and lessons learned.","Collaborate with all the stakeholders to agree on the quality standard and acceptance criteria, then update the quality policy for the project before continuing the work.","Resolve the quality problem, per the customer's  acceptance criteria and update the issue log and project management plan.","","D","Rushing to start this project with unclear documentation was clearly the cause of a misunderstanding. Misunderstandings must be resolved to fulfill project goals and successful project outcomes. This is especially true of a customer's requirement! When a project has already started based on a misunderstanding, you need to think and act decisively while stewarding the project toward successful outcomes. Of these four choices, resolving the quality problem and updating the project management plan achieves these two goals in the best way. The product will meet the customer's  quality standard and the project management plan will reflect the work. Prioritizing on-time delivery to please the customer might seem to be a good idea at first, but if the goods do not meet the acceptance criteria, the company risks losing a customer and a good reputation.","I.10 – Build shared understanding
II.12 – Manage project artifacts","Hybrid","","draft",""
"single_choice","A project that is in progress requires a resource with a specialized skill. Because of time limitations, the agile team has two options: either borrow a team member from another department who can work part-time or use an independent contractor. The eight team members discuss the options, but they are unable to reach an agreement. The vote is 50/50, and both options have positive benefits as well as risks.

What should the team do?","Use Roman voting.","Empower the team lead to make a decision based on multicriteria analysis.","Wait until the next retrospective and ask again.","Ask the product owner to decide.","","B","In this case, the team faces a true deadlock in voting on an issue where support for the choices is equally balanced. Roman voting would continue to produce the same results. A time limitation means that waiting for the next retrospective is not the best option. The product owner is not the expert on project work, so the best choice here is to empower the team lead to make a decision based on data. This choice maintains the elements of a data-driven decision made by a member of the team in a timely manner.","I.2 Lead a team","Agile","","draft",""
"single_choice","A project will create digital keys for 18,500 employees at an airport. The project management plan states that security clearance data for employees must be verified and updated in a digital security file every 6 months. This is part of the acceptance criteria. In month 3, the project manager discovers that the company hired to maintain the digital security files has filed for bankruptcy.

Which statement describes the status of this project?","This project will fail.","This project has an issue.","This project is noncompliant.","This project is high risk.","","B","This project has an issue arising from a risk, and it is quite serious. The project manager must now manage this issue to move the project forward. If it is possible to find another vendor or way to manage the digital security file requirement, the project might succeed, and it may even fulfill the outcomes on time. Security is a compliance issue; however, if the issue is resolved in a positive manner, the threat of noncompliance may be averted.","II.15 Manage project issues
II.3 Assess and manage risk compliance","Agnostic","","draft",""
"single_choice","A pharmaceutical company has manufactured its best-selling product for more than 50 years. Production has steadily increased, and the company is ready to make a significant investment to expand the business.

Leadership asks the project management team to carefully assess the risk of this expansion. What should the team focus on?","Stakeholder profiles","Last year’s annual budget","Product roadmap","Company’s mission statement","","C","The team needs to understand the full scope of the expansion to determine risk. The product roadmap, an artifact created by the business, should contain the vision and direction for the product, and the team can assess risk based on this vision and direction. All the other information could be helpful as context, but a risk assessment of the expansion begins with the product roadmap.","II.3 Assess and manage risks
III.2 - Evaluate address external business changes for impact on scope","Agnostic","","draft",""
"multiple_response","A financial services project will be executed by a team of three teams. Each team has unique objectives for the first phase and then will merge efforts for the second phase to deliver the product. The product owner wants it done as soon as possible. In the initial draft of the schedule, team A finishes their work in a 9-week time line, but teams B and C need 14 weeks to complete their work.

The scrum master suggests allocating resources from team A to teams B and C during weeks 10-12, to shorten the total time line. Teams B and C agree and would like the added resources. However, team A says “no” because they need to prepare the transition plan and train staff on the product during weeks 10-14.

Which two actions should happen? (Choose two)","The product owner should reprioritize the backlog.","The teams should decide their own schedules.","The teams should hold a scrum of scrums to decide the schedule.","The scrum master should facilitate a planning retrospective.","The product owner should add the transition requirements to the backlog.","C,E","These teams are not communicating with each other about the time they need to produce the work, nor with the product owner about the training and transition plans that are required to deliver the product. The product owner can communicate their requirements to the team through the backlog. That is where the work is described to the team, which can then decide on how to execute it, because they know best what is needed to complete this project successfully and deliver the product ASAP. Clearly, the training and transition requirements have not been discussed. In a scrum of scrums meeting, the teams can discuss how the required work should be completed and agree on a schedule.","II.5 Plan and manage budget and resources","Agnostic","","draft",""
"multiple_response","A project manager in a luggage manufacturing company is asked to explore new business opportunities and deliver three proofs of concepts (POCs) to the executive team. Sales are declining rapidly and the company’s future is at risk. The 15 project team members are stakeholders from all over the organization, chosen for their independent thinking. They have very different points of view about which opportunities are best, and arguments are erupting openly and often.

Because of the varied points of view, the project manager adopts an agile approach to quickly build shared understanding about the work and find the best solutions to present to the executive team. Which two approaches should the project manager consider? (Choose two)","Train stakeholders on how to create user stories and story map of their ideas to share these with the whole group and vote for the three best to create the POCs.","Supervise the work but empower three agile teams of five people each to self-organize and ideate new business concepts as user stories to be reviewed at retrospectives and then developed iteratively.","Send a survey to the 15 stakeholders asking for new business ideas and concepts; share all the answers anonymously and then vote on the three best.","Prioritize the executive or senior stakeholders’ ideas; empower them as team leads of self-organizing agile teams that deliver POCs to the company incrementally.","Ask each stakeholder to create a vision statement and use an Extreme Programming (XP) metaphor to explain their best idea; all stakeholders vote for the three best and develop them as POCs.","A,B","Because a proof of concepts (POCs) demonstrates feasibility, that efficacy, in addition to time and democratic ideation, are important in this scenario. The two best options to meet all of these requirements are A and B. The story mapping technique is suitable for discovery work and for larger groups to organize and visualize the user stories and develop their work. Allowing each person to ideate and then vote on the three best is an effective way of listening to diverse points of view and making decisions. The other option that can work is empowering self-organizing agile teams—breaking the larger group into smaller ones that can handle conflict productively and work better. The last three options are less promising approaches. A survey is a useful tool for capturing diverse opinions, but this answer does not allow for conflict to produce ideas nor prove the ideas can work. Empowering the senior stakeholders is controversial because it prioritizes people based on their jobs. The stakeholders on this project have an equal voice, so it is unwise—and not agile—to create a hierarchy. The final option of using a vision statement and XP metaphor is a promising beginning, but the story mapping and adaptive development methods are better because they will include greater detail about the business ideas and be closer to a POC, which is the desired outcome.","I.10 Build shared understanding
II.13 Determine appropriate project methodology/methods and practices
I.1 Manage conflict
II.1 Execute the project with the urgency required to deliver business value","Agnostic","","draft",""
"single_choice","A virtual team will travel to a work site and work as a colocated team for 6 weeks in Q3 of next year to transition their project to the customer. One team member, whose role is critical to the transition, is getting married during Q3 but has not told anyone until now. This team member requested 3 weeks of holiday right before the planned team travel.

What should the project manager do?","Ask another team member to job shadow this team member as a contingency.","Reject the request because this team member's role is critical.","Plan for the risk of a delayed transition because of this team member’s absence.","Replace the team member now to avoid disruption next year.","","A","This scenario shows a normal part of working life, and the best response is to mitigate this team member's absence as a single point of failure by asking someone else on the team to expand their skillset. With time to plan for resource coverage, there should be no delay or disruption! While rejecting the request is a possible answer, it is an overreach of authority and an overreaction. And the project manager should definitely send a note of congratulations to the team member!","I.2 Lead a team","Hybrid","","draft",""
